Food Item,Energy (kJ/100g),Dietary Fiber (g/100g),Fat (g/100g),Ash (g/100g),Total sugars (g/100g),Calcium (mg/100g),Phosphorus (mg/100g),Magnesium (mg/100g),Potassium (mg/100g),Sodium (mg/100g),Manganese (mg/100g),Zinc (mg/100g),Copper (mg/100g),Iron (mg/100g),Selenium (ug/100g)
"Adzuki bean, cooked (Jihong No.16, Chinese variety),25,5% protein",1377,12.7,0.53,3.26,0,66,381,127,1254,5,1.73,5.04,1.094,4.98,17
Alfalfa protein concentrate,2190,2,9,10.8,0.7,3670,920,150,760,8,11.2,2.1,1.4,58.3,30
"Alfalfa, dehydrated, protein 16-18% dry matter",1850,30.2,2.4,12,4.4,2230,250,200,2590,36,3.3,2.5,0.6,45.1,20
"Alfalfa, dehydrated, protein > 25% dry matter",1910,24.3,3.9,12.9,4.4,2500,320,210,2680,60,3.6,3.2,0.7,41.5,4
"Broad beans, cooked (Qingcan No.14, Chinese variety), 29,7% protein",460,5.4,0.4,0.81,1.82,36,125,43,268,5,0.421,1.01,0.259,1.5,15
"Chickpea, kabuli type (Cicer arietinum L.)",1960,3.9,6.3,3.3,6,140,460,150,1100,38,3.3,3.6,0.7,9.4,2
"Chickpea, pressure cooked (Kabuli), (Cicer arietinum) garbanzo bean, var KAK-2, India (22,9 g/100 g protein)",686,7.6,2.59,0.92,4.8,49,168,48,291,7,1.03,1.53,0.352,2.89,27
"Chickpeas (Xinying No1 Y2-12, Chinese variety), 25,3% protein",1581,12.2,6.04,2.85,10.7,57,252,79,718,24,21.306,2.76,0.656,4.31,67
Coconut (extracted),1481,9,33.49,0.97,6.23,14,113,32,356,20,1.5,1.1,0.435,2.43,0
Common bean (Phaseolus vulgaris L.),1820,5.2,1.6,4.6,4.9,210,500,200,1690,3,1.5,3.7,1.1,8.5,10
Common vetch (Vicia sativa L.),1850,4.8,1.3,3.8,1.8,550,490,160,1100,0,2.3,4,1.5,14.2,0
"Cotton seed, whole/full-fat cotton seed (Gossypium spp.)",2380,27.6,19.8,4.3,2.1,160,580,350,1160,11,2,3.3,6.1,9.8,10
"Cotton seed, whole, extruded/full-fat cotton seed (Gossypium spp)",2380,27.6,19.8,4.3,2.1,160,580,350,1160,11,2,3.3,6.1,9.8,10
Cowpea seed (Vigna unguicuilata (L) Walp),1820,4.7,1.5,4.3,4.6,120,370,230,1500,12,2,3.8,0.9,42.2,10
"Faba bean, coloured flowers, high tannin",1870,9,1.5,3.8,3.4,150,550,190,1160,12,0.8,3.6,1.4,6.8,2
"Faba bean, colored flowers, high tannin, extruded, horse bean/field bean (Vicia faba L.)",1870,9,1.5,3.8,3.4,150,550,190,1160,12,0.8,3.6,1.4,6.8,2
"Faba bean, white flowers, low tannin, horse bean/field bean (Vicia faba L.)",1870,8.6,1.2,4,4.1,150,560,200,1200,12,0.8,3.6,1.3,8.5,2
"Groundnut flour/peanut flour, dehulled (46,6 g/00 g protein)",1790,15.8,21.9,5.23,0,130,508,48,1358,1,4.231,5.99,2.039,4.74,0
"Kidney bean, cooked (Ziyun No.2, Chinese variety), 26,2% protein",532,7.4,0.5,1.09,0.32,28,142,45,403,2,0.477,1.07,0.242,2.94,0
Lentils (Lens esculenta Moench),1850,4.9,1.5,3.5,4.8,150,440,120,990,40,1.7,3.8,1.2,21.2,10
"Lentils, raw, red (Lens culinaris), 24,7 g/100 g protein",1498,10.8,2.17,3,1.3,48,294,59,668,7,1.716,3.6,1.303,7.39,58
"Lentils, steam pelleted at 80-85 oC, (Lens culinaris), 24,3 g/100 g protein",487,7.9,0.38,0.83,1.8,19,180,36,369,2,0.494,1.27,0.251,3.33,8
"Lentils, extruded at 115oC (Lens culinaris), 24,4 g/00 g protein",1473,10.7,1.06,2.71,2.03,35,281,47,677,6,1.393,3.27,0.754,6.51,39
"Linseed, whole (Linum usitatissimum)/full-fat linseed/full fat flaxseed",2700,9.9,37.6,4.2,2.9,300,630,400,820,52,3.2,5,1.3,16.4,30
