Food item name,FDC ID,FEEDTABLES ID,Alternative food name; Based on assumptions made from USDA FDC 
Beyond burger,1869600,,"BEYOND MEAT, BEYOND BEEF ITALIAN MEATBALLS"
Burger bun ,2094310,,BURGER BUNS - from whole foods market
"Beef, lean (80%) + burger bun",NO DATA,NO DATA,
Pork + burger bun,NO DATA,NO DATA,
Impossible burger + burger bun,NO DATA,NO DATA,
Millet,169702,,"Millet, raw"
Adlay (Chinese pearl barley),170284,,"Barley, pearled, raw"
Mung bean (32%) + millet (68%),NO DATA,NO DATA,
Adzuki bean (40%)+ adlay (Chinese pearl barley) (60%),NO DATA,NO DATA,
Cornflakes (Kelloggs company),753438,,
Quick Oats,1973576,,
"milk, dried, non fat",171273,,"Milk, dry, nonfat, calcium reduced"
Cornflakes + dry milk (ratio of mix 2.6:1),NO DATA,NO DATA,
Quick oats + dry milk (ratio  of mix 2.4:1),NO DATA,NO DATA,
Pinto bean (served with corn tortilla and guacamole),174286,,
"Salami (fully coked, cured and fermented), includes pok and pork hearts",172936,,"Beans, pinto, canned, drained solids"
"Bologna (fully cooked and cured), includes pork and beef",172013,,"Bologna, beef and pork"
Beef jerky ,167536,,"Snacks, beef jerky, chopped and formed"
"Beef, ground, raw",168608,,"Beef, grass-fed, ground, raw"
"Beef, ground, cooked",169447,,"Beef, ground, patties, frozen, cooked, broiled"
"ribeye roast, medium rare (cooked to 56oC)",173059,,"Beef, ribeye petite roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted"
"ribeye roast, medium (cooked to 64oC)",173059,,"Beef, ribeye petite roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted"
"ribeye roast, well-done (ccoked to 72oC)",173059,,"Beef, ribeye petite roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted"
"pork belly, raw",167812,,"Pork, fresh, belly, raw"
"Bacon, smoked",168324,,"Pork, bacon, rendered fat, cooked"
"Bacon, smoked, cooked",168324,,"Pork, bacon, rendered fat, cooked"
"Ham, non-cured",171627,,"Ham, chopped, not canned"
"Ham, cured with celery/salt (no nitrite)",167873,,"Pork, cured, ham, patties, unheated"
"Ham, cured ",167873,,"Pork, cured, ham, patties, unheated"
"pork loin, medium (cooked to 63oC)",167842,,"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted"
"pork loin, medium-well (cooked to 68oC)",167842,,"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted"
"pork loin, well-done (cooked to 72oC)",167842,,"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted"
"Chickpea, extruded",173756,,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw"
"Yellow pea, extruded ",NO DATA,NO DATA,
"Black soldier fly larvae meal, defatted",,142197,
"Black soldier fly larvae meal, full fat",,12651,
"Corn/maize, yellow dent,  raw",170288 ,,Yellow corn grain 
"Corn/maize, yellow dent, extruded",170288 ,,Yellow corn grain 
"Wheat, hard red winter, raw",168890,,"Wheat, hard red winter"
"Wheat, hard red winter, extruded",168890,,"Wheat, hard red winter"
"Sorghum, 1.6g/kg tannin, raw",,12462,
